angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.04,,"[246, 161, 123, 152]",,0.0,,0.02,,0.06,,0.67,,0.2,,0.0,
0.04,0.31,"[246, 158, 123, 158]","[208, 203, 45, 66]",0.0,0.0,0.01,0.12,0.08,0.06,0.73,0.12,0.13,0.28,0.0,0.12
0.06,,"[247, 158, 124, 157]",,0.0,,0.02,,0.23,,0.55,,0.14,,0.01,
0.05,,"[250, 166, 123, 148]",,0.0,,0.01,,0.14,,0.59,,0.2,,0.0,
0.09,,"[247, 158, 125, 156]",,0.0,,0.04,,0.08,,0.5,,0.28,,0.01,
0.05,,"[250, 160, 125, 153]",,0.0,,0.05,,0.06,,0.68,,0.14,,0.02,
0.05,,"[249, 159, 125, 155]",,0.0,,0.04,,0.07,,0.73,,0.1,,0.01,
0.05,,"[254, 163, 124, 154]",,0.0,,0.08,,0.07,,0.59,,0.2,,0.01,
0.08,,"[245, 157, 127, 159]",,0.0,,0.05,,0.18,,0.47,,0.21,,0.01,
0.03,,"[243, 154, 129, 163]",,0.0,,0.04,,0.07,,0.7,,0.14,,0.01,
0.06,,"[241, 155, 128, 160]",,0.0,,0.06,,0.12,,0.57,,0.19,,0.01,
0.05,,"[244, 158, 126, 158]",,0.0,,0.03,,0.09,,0.7,,0.13,,0.0,
0.05,,"[244, 159, 125, 154]",,0.0,,0.01,,0.23,,0.64,,0.07,,0.0,
0.06,,"[244, 161, 129, 156]",,0.0,,0.01,,0.26,,0.51,,0.16,,0.0,
0.02,,"[239, 157, 131, 163]",,0.0,,0.0,,0.72,,0.24,,0.02,,0.0,
0.0,,"[238, 156, 132, 163]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[239, 155, 134, 166]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[238, 156, 133, 170]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"[241, 158, 133, 166]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"[236, 158, 137, 173]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[239, 164, 129, 163]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[232, 155, 130, 171]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"[228, 149, 130, 167]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[227, 148, 132, 165]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[229, 150, 132, 166]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[230, 148, 129, 163]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[235, 146, 129, 161]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"[240, 149, 135, 163]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"[248, 151, 136, 165]",,0.0,,0.0,,0.98,,0.01,,0.0,,0.0,
0.0,,"[257, 148, 133, 167]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[262, 148, 131, 163]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[260, 152, 131, 162]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[260, 152, 130, 161]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
